Image,Date/Time,Latitude ref,Latitude,Longitude ref,Longitude,Altitude ref,Altitude,Variety,Flower,Plant,Plant2
Image00001.jpg,2018:07:30 11:07:59,N,52.2496,E,0.1446,Sea level,13 metres,1,1,0,1
Image00002.jpg,2018:07:30 11:08:53,N,52.2496,E,0.1447,Sea level,9 metres,1,2,0,1
Image00003.jpg,2018:07:30 11:09:06,N,52.2496,E,0.1447,Sea level,6 metres,1,2,0,1
Image00004.jpg,2018:07:30 11:09:35,N,52.2496,E,0.1447,Sea level,8 metres,1,2,0,1
Image00005.jpg,2018:07:30 11:10:47,N,52.2496,E,0.1448,Sea level,7 metres,1,3,0,2
Image00006.jpg,2018:07:30 11:11:20,N,52.2497,E,0.1445,Sea level,13 metres,1,2,0,2
Image00007.jpg,2018:07:30 11:11:53,N,52.2496,E,0.1447,Sea level,14 metres,1,3,0,2
Image00008.jpg,2018:07:30 11:12:59,N,52.2496,E,0.1447,Sea level,10 metres,1,2,0,2
Image00009.jpg,2018:07:30 11:13:38,N,52.2496,E,0.1447,Sea level,11 metres,1,2,0,2
Image00010.jpg,2018:07:30 11:14:51,N,52.2496,E,0.1448,Sea level,5 metres,1,?,0,3
Image00011.jpg,2018:07:30 11:15:33,N,52.2496,E,0.1447,Sea level,5 metres,1,1,0,3
Image00012.jpg,2018:07:30 11:15:40,N,52.2496,E,0.1448,Sea level,8 metres,1,1,0,3
Image00013.jpg,2018:07:30 11:16:22,N,52.2496,E,0.1448,Sea level,11 metres,1,2,0,3
Image00014.jpg,2018:07:30 11:17:13,N,52.2496,E,0.1449,Sea level,11 metres,1,2,0,4
Image00015.jpg,2018:07:30 11:18:11,N,52.2496,E,0.1448,Sea level,8 metres,1,3,0,4
Image00016.jpg,2018:07:30 11:18:27,N,52.2496,E,0.1448,Sea level,10 metres,1,3,0,4
Image00017.jpg,2018:07:30 11:19:18,N,52.2498,E,0.1446,Sea level,10 metres,1,2,0,4
Image00018.jpg,2018:07:30 11:19:29,N,52.2496,E,0.1448,Sea level,11 metres,1,2,0,4
Image00019.jpg,2018:07:30 11:20:37,N,52.2496,E,0.1448,Sea level,10 metres,1,1,0,5
Image00020.jpg,2018:07:30 11:21:45,N,52.2497,E,0.1448,Sea level,7 metres,1,3,0,6
Image00021.jpg,2018:07:30 11:21:56,N,52.2496,E,0.1448,Sea level,14 metres,1,3,0,6
Image00022.jpg,2018:07:30 11:22:36,N,52.2497,E,0.1448,Sea level,11 metres,1,2,0,6
Image00023.jpg,2018:07:30 11:22:51,N,52.2496,E,0.1449,Sea level,11 metres,1,2,0,6
Image00024.jpg,2018:07:30 11:23:35,N,52.2498,E,0.1446,Sea level,11 metres,1,3,0,6
Image00025.jpg,2018:07:30 11:24:36,N,52.2497,E,0.1447,Sea level,10 metres,1,2,0,7
Image00026.jpg,2018:07:30 11:26:05,N,52.2497,E,0.1448,Sea level,13 metres,1,3,0,8
Image00027.jpg,2018:07:30 11:26:13,N,52.2497,E,0.1448,Sea level,11 metres,1,3,0,8
Image00028.jpg,2018:07:30 11:26:40,N,52.2497,E,0.1448,Sea level,10 metres,1,3,0,8
Image00029.jpg,2018:07:30 11:27:43,N,52.2497,E,0.1448,Sea level,12 metres,1,?,0,8
Image00030.jpg,2018:07:30 11:28:21,N,52.2497,E,0.1448,Sea level,14 metres,1,1,0,8
Image00031.jpg,2018:07:30 11:52:00,N,52.2495,E,0.1448,Sea level,13 metres,1,3,1,0
Image00032.jpg,2018:07:30 11:52:12,N,52.2495,E,0.1448,Sea level,12 metres,1,3,1,0
Image00033.jpg,2018:07:30 11:52:59,N,52.2495,E,0.1448,Sea level,20 metres,1,3,1,1
Image00034.jpg,2018:07:30 11:53:12,N,52.2496,E,0.1449,Sea level,25 metres,1,3,1,1
Image00035.jpg,2018:07:30 11:53:26,N,52.2496,E,0.1449,Sea level,17 metres,1,3,1,1
Image00036.jpg,2018:07:30 11:54:15,N,52.2495,E,0.1449,Sea level,5 metres,1,3,1,2
Image00037.jpg,2018:07:30 11:54:24,N,52.2495,E,0.1449,Sea level,11 metres,1,3,1,2
Image00038.jpg,2018:07:30 11:54:33,N,52.2495,E,0.1449,Sea level,11 metres,1,3,1,2
Image00039.jpg,2018:07:30 11:55:31,N,52.2496,E,0.1453,Sea level,18 metres,1,3,1,3
Image00040.jpg,2018:07:30 11:56:18,N,52.2496,E,0.1448,Sea level,6 metres,1,1,1,3
